time,open,high,low,close,Volume,Volume MA
1586749500,1647.65,1648,1622.65,1623.55,30312,NaN
1586749800,1621.2,1627.85,1617.1,1619,37886,NaN
1586750100,1619.3,1623,1610.6,1620.95,27623,NaN
1586750400,1620.1,1620.2,1609.1,1610,23674,NaN
1586750700,1610.5,1610.5,1603.2,1605.2,56981,NaN
1586751000,1604.5,1615,1604.1,1606,49410,NaN
1586751300,1605.2,1612.2,1602.85,1610.1,47565,NaN
1586751600,1610.15,1612.45,1605.75,1606.55,22537,NaN
1586751900,1606,1610,1605.5,1609.35,16866,NaN
1586752200,1609.25,1612.5,1605.95,1611.9,19430,NaN
1586752500,1612.4,1628.5,1612.25,1627.1,64110,NaN
1586752800,1627.8,1650,1625.5,1625.5,113251,NaN
1586753100,1627,1644,1623.4,1639.7,81319,NaN
1586753400,1639.65,1640.9,1636,1637.5,36783,NaN
1586753700,1638.2,1650,1637,1647.05,54208,NaN
1586754000,1647.1,1648,1641,1641.35,29245,NaN
1586754300,1641,1643.6,1637.4,1639.25,28244,NaN
1586754600,1639.25,1661.45,1638,1656.45,62144,NaN
1586754900,1655.2,1659.2,1647.25,1649,46221,NaN
1586755200,1648.4,1654.15,1645.3,1647.35,26785,43729.7
1586755500,1647.55,1648,1637.7,1640.05,37783,44103.25
1586755800,1638.45,1639.95,1631.5,1636.4,38639,44140.9
1586756100,1637.5,1645,1635,1636.8,21640,43841.75
1586756400,1636.7,1639.5,1634.25,1637.25,18217,43568.9
1586756700,1637.85,1651.7,1637.85,1645.3,32117,42325.7
1586757000,1645.4,1648.25,1640.8,1642.2,15581,40634.25
1586757300,1641.15,1642.8,1634,1637.85,38034,40157.7
1586757600,1637.85,1645,1635.2,1642.5,19136,39987.65
1586757900,1642.95,1649.9,1642.95,1648.1,20968,40192.75
1586758200,1649.25,1654.95,1649,1649.75,32635,40853
1586758500,1649.3,1659,1649,1652.8,26949,38994.95
1586758800,1652,1656.75,1651.15,1653.05,14506,34057.7
1586759100,1653,1657.5,1646.2,1649,23751,31179.3
1586759400,1648,1651.95,1646.35,1648.35,15338,30107.05
1586759700,1648.35,1655,1647.75,1655,13006,28046.95
1586760000,1655.55,1657,1652,1655.05,20250,27597.2
1586760300,1655.4,1657,1649.1,1652,14884,26929.2
1586760600,1652.5,1659,1651.6,1658.9,22523,24948.15
1586760900,1658.9,1664.6,1658.2,1661.45,64419,25858.05
1586761200,1661.25,1669.5,1660.4,1669.5,42954,26666.5
1586761500,1669.6,1671.45,1665.3,1669.2,41651,26859.9
1586761800,1669,1674,1668.5,1673.65,40889,26972.4
1586762100,1673.55,1673.8,1663.2,1665.75,36829,27731.85
1586762400,1665.8,1667.65,1662,1663.55,21570,27899.5
1586762700,1664,1665,1662.35,1662.35,12004,26893.85
1586763000,1662.2,1663,1654.95,1658.45,30223,27625.95
