time,open,high,low,close,Volume,Volume MA
1586749500,466.5,477,463.5,476.35,395708,NaN
1586749800,476.45,476.45,470,473.65,197946,NaN
1586750100,473.65,475.85,469.9,471.3,168456,NaN
1586750400,471.5,472.6,468,468.2,115330,NaN
1586750700,467.5,471.95,467.2,471.95,107128,NaN
1586751000,471.9,481.6,471.85,478.5,389801,NaN
1586751300,478.4,483.95,472.95,482,479660,NaN
1586751600,482.2,487.75,481.4,486.1,519013,NaN
1586751900,486.05,489.9,483.25,489.7,291684,NaN
1586752200,489.5,491,486.1,486.75,419767,NaN
1586752500,486.75,498.9,486.7,497,624501,NaN
1586752800,497.35,499.8,494.3,494.4,518625,NaN
1586753100,494.9,502.75,494.75,501.9,516891,NaN
1586753400,502,506.2,501.4,506.2,349702,NaN
1586753700,506.2,506.2,506.2,506.2,67818,NaN
1586754000,506.2,506.2,506.2,506.2,26415,NaN
1586754300,506.2,529.05,498.9,498.95,831559,NaN
1586754600,499.4,502.2,494.1,500.95,458543,NaN
1586754900,500.95,500.95,492.6,495.2,375638,NaN
1586755200,495.75,497,492,493.35,189742,352196.35
1586755500,493.4,495.55,489.25,489.3,283981,346610
1586755800,489,494.65,486.8,493.2,291027,351264.05
1586756100,493.35,495.6,492,492.7,144997,350091.1
1586756400,492.7,497.1,492.5,497.1,130628,350856
1586756700,497.15,497.65,494.3,495.75,131656,352082.4
1586757000,495.75,496.75,493.5,494.75,81154,336650.05
1586757300,494.8,495,493.6,494.75,62850,315809.55
1586757600,494.75,494.8,494.05,494.5,40318,291874.8
1586757900,494.55,500,494.45,499.75,237356,289158.4
1586758200,499.6,501.75,496.2,496.2,193258,277832.95
1586758500,496.15,498.85,495.75,498.3,71754,250195.6
1586758800,498.45,498.45,496.5,497.45,48747,226701.7
1586759100,496.85,498.45,496.85,497.9,42370,202975.65
1586759400,497.85,498.2,496.6,496.8,60216,188501.35
1586759700,496.7,498,495.55,498,57848,188002.85
1586760000,498.5,499.3,496.75,499,83406,190852.4
1586760300,499,499.1,496.4,497.5,63797,152464.3
1586760600,497.5,497.85,496.5,496.65,46656,131869.95
1586760900,496.5,497,495.05,495.25,69014,116538.75
1586761200,495.4,495.5,493.3,494.5,136558,113879.55
1586761500,494.8,496,494.7,495.8,38789,101619.95
1586761800,495.9,497.5,495.6,496.5,58891,90013.15
1586762100,496.25,496.6,494,495.25,56409,85583.75
1586762400,495.25,496.4,494.5,494.5,39078,81006.25
1586762700,494.65,495.6,494.15,494.75,48376,76842.25
1586763000,495,496.3,494.55,495.55,37644,74666.75
1586763300,495.55,495.85,494.5,494.6,32091,73128.8
1586763600,494.85,494.9,492.5,492.5,96251,75925.45
1586763900,491.65,491.95,490,491.6,186213,73368.3
1586764200,491.9,492.85,488.2,489,159873,71699.05
1586764500,489.2,489.25,486.5,488.1,149608,75591.75
1586764800,488.4,489.9,486.65,487.3,100762,78192.5
1586765100,487,488,485.5,487,132418,82694.9
