time,open,high,low,close,Volume,Volume MA
1586749500,417.95,417.95,403.35,411.9,1375115,NaN
1586749800,412.3,412.7,405.6,405.9,725944,NaN
1586750100,405.85,408.5,404.45,406.35,573300,NaN
1586750400,406.4,406.7,403,405.2,610789,NaN
1586750700,405,407.95,403.5,406,663847,NaN
1586751000,405.95,407.5,402,402.05,831985,NaN
1586751300,402.1,405.25,402.05,404.55,760637,NaN
1586751600,404.55,405.75,403.6,403.9,473459,NaN
1586751900,403.6,405.8,403.5,405.35,458539,NaN
1586752200,405.45,405.6,404,404.85,318949,NaN
1586752500,404.95,410.2,404.95,409.65,812062,NaN
1586752800,409.8,414.3,409.2,410.8,967679,NaN
1586753100,410.95,412.25,410.45,410.95,448773,NaN
1586753400,410.95,412.8,409.05,410.3,513757,NaN
1586753700,410.55,411.5,410.15,410.6,222737,NaN
1586754000,410.75,410.9,409.05,409.45,316390,NaN
1586754300,409.5,411.2,409.45,411.2,199590,NaN
1586754600,411.1,416.2,411.1,413,792607,NaN
1586754900,413.2,414.15,410.6,411.4,301706,NaN
1586755200,412,412.95,410.75,411.5,189334,577859.95
1586755500,411.45,411.95,410.5,410.7,191360,518672.2
1586755800,410.65,411.5,409.5,411.25,307464,497748.2
1586756100,410.9,412.1,410.9,411.5,149435,476554.95
1586756400,411.7,412.5,411,412.05,156528,453841.9
1586756700,412.15,413.8,411.75,411.85,346893,437994.2
1586757000,411.75,412.3,411.05,411.75,143641,403577
1586757300,411.75,411.8,410,410.8,253877,378239
1586757600,410.8,412.4,410,412,167648,362948.45
1586757900,411.9,423.35,411.5,422,1325583,406300.65
1586758200,421.75,424.8,419.5,421.7,1114811,446093.75
1586758500,422.15,427.9,421.95,423.65,1192707,465126
1586758800,423.3,426.4,420.85,422,793605,456422.3
1586759100,422.2,424.75,420.55,420.9,561349,462051.1
1586759400,421,422.5,420.05,420.25,513566,462041.55
1586759700,420,422.4,418.7,422,486697,475239.55
1586760000,422.25,424.2,422,422.65,376942,478267.15
1586760300,422.75,423,420.3,421.25,271388,481857.05
1586760600,421.1,422,419.45,419.55,280218,456237.6
1586760900,419.7,419.7,414.25,415,882591,485281.85
1586761200,415.15,417.5,415.1,416.6,317552,491692.75
1586761500,416.5,418.8,415.65,417,381972,501223.35
1586761800,417,418.8,416.75,417.35,247485,498224.4
1586762100,417.4,418.05,416,417.65,240756,502790.45
1586762400,417.5,418.5,416.55,417.1,212506,505589.35
1586762700,417.35,417.4,416,416.85,214841,498986.75
1586763000,416.6,417.45,415.35,416.7,193954,501502.4
1586763300,416.6,418.4,416.15,417.05,186402,498128.65
1586763600,417.2,417.2,412.3,413,690922,524292.35
1586763900,412.7,414.8,411.6,412.3,490248,482525.6
1586764200,412.4,413.5,412,412.2,282824,440926.25
1586764500,412.15,414.35,411,413.8,428901,402735.95
1586764800,413.5,414.9,412.1,412.9,236185,374864.95
1586765100,412.9,413.2,411.5,412.6,204352,357015.1
1586765400,412.6,414.35,412.3,414.1,195405,341107.05
1586765700,414.1,416.8,414.1,414.9,417966,337670.5
1586766000,414.9,414.95,413.4,414.6,223119,329979.35
1586766300,414.7,415,414.15,414.5,139850,323402.45
1586766600,414.55,416.45,414.3,414.3,240810,321432.05
1586766900,414.15,415.7,414.05,414.05,189408,286772.9
1586767200,413.95,413.95,411.5,412.25,556745,298732.55
1586767500,412.25,413.5,410.3,413.3,447722,302020.05
1586767800,413.3,414.65,412.45,414.3,223213,300806.45
1586768100,414.3,416.55,413.5,415.45,350322,306284.75
1586768400,415.2,419.75,415.2,416.6,639691,327644
1586768700,416.6,417.25,414.4,416.3,386277,336215.8
1586769000,416.3,418.9,415.3,418.9,332248,343130.5
1586769300,418.6,421,416.2,417.55,534762,360548.5
1586769600,417.5,417.75,415.3,416.2,330831,342543.95
1586769900,416.1,418.4,415.6,417.1,279296,331996.35
1586770200,417.05,417.45,416,417.1,260215,330865.9
1586770500,416.85,418.85,416.7,417.1,331232,325982.45
1586770800,417.3,419,416.95,418.3,508403,339593.35
1586771100,418.3,421.2,417.9,420.25,666542,362702.85
1586771400,420.15,421.4,418.6,419.35,524105,379137.85
1586771700,419.25,420,419.05,420,218029,369141
1586922300,433,434.5,424,433.4,2659220,490946.05
1586922600,433.3,436.4,432.1,433.1,1502217,559064.4
1586922900,433.2,435.4,433,433.55,895399,591793.85
1586923200,433.5,437.75,433,436.8,1348703,649758.6
1586923500,436.75,439,436.35,438.25,1157018,679772.25
1586923800,438.5,438.5,436.15,436.3,652051,689988.7
1586924100,436.4,437.85,435.65,437.45,572262,707441.15
1586924400,437.2,445,437.15,443.65,1459180,762884.05
1586924700,443.3,443.65,440.45,442.7,829995,772399.25
1586925000,442.6,446.7,442.5,445.95,857911,795980.95
1586925300,445.95,447,444.2,446.4,583075,808522.3
1586925600,446.5,448,444.55,445.25,507390,807153.7
1586925900,445.25,447.75,444.65,445.25,479303,814577.3
1586926200,445.15,446.7,444.4,446.5,393401,820282.55
1586926500,446.5,449.7,446.3,447.8,820620,848302.8
1586926800,447.65,448.3,446.1,446.9,451226,854302.5
1586927100,446.75,446.9,445.05,446.7,328174,845291.05
1586927400,446.8,447.9,446,447.75,258265,824877.2
1586927700,447.9,451.65,447.45,449.4,705978,833970.85
1586928000,449.45,449.9,447.65,447.9,335896,839864.2
1586928300,447.5,448.3,446.35,446.7,385700,726188.2
1586928600,446.7,447.45,445.5,447.2,424856,672320.15
1586928900,447.15,447.15,445.55,446.55,247413,639920.85
1586929200,446.45,446.75,445.4,446.7,214517,583211.55
1586929500,446.6,448,446.05,447.45,362490,543485.15
