time,open,high,low,close,Volume,Volume MA
1586749500,1250.4,1251,1228.4,1243.7,182347,NaN
1586749800,1242.55,1243.7,1230.2,1231.55,150303,NaN
1586750100,1231.7,1240.95,1230.75,1236.45,101092,NaN
1586750400,1236.15,1237.5,1231.3,1233.6,84128,NaN
1586750700,1233.9,1238.35,1232.05,1232.3,106704,NaN
1586751000,1232.1,1237,1226.45,1232,129390,NaN
1586751300,1232.05,1236.05,1230.65,1234.3,70157,NaN
1586751600,1234.4,1235.65,1232.45,1233.75,72800,NaN
1586751900,1233.75,1240,1232.65,1238.55,85224,NaN
1586752200,1238,1239,1235,1236.25,48343,NaN
1586752500,1235.7,1241.1,1234.5,1235.35,48958,NaN
1586752800,1235.4,1237.65,1234.25,1234.8,103489,NaN
1586753100,1235,1237.5,1232,1232,25739,NaN
1586753400,1231.5,1232,1225.15,1228.25,51932,NaN
1586753700,1228.25,1230.4,1220.2,1220.35,67646,NaN
1586754000,1220.7,1225,1216,1224.9,102038,NaN
1586754300,1224.6,1229.9,1220.95,1228.8,86556,NaN
1586754600,1228.6,1244.6,1228,1232.65,176543,NaN
1586754900,1232.75,1235.3,1226.7,1229,66359,NaN
1586755200,1229.65,1233.5,1229.65,1231.65,17295,88852.15
1586755500,1231.5,1234.95,1230.75,1232.6,26056,81037.6
1586755800,1232.05,1236,1230.95,1235.9,56926,76368.75
1586756100,1236.5,1239.55,1234.5,1237.9,51192,73873.75
1586756400,1238.2,1242,1237.65,1239.65,36640,71499.35
1586756700,1240,1245.35,1239.95,1241,70357,69682
1586757000,1241,1241,1236.1,1237.05,33903,64907.65
1586757300,1236.95,1239,1233.15,1237,96318,66215.7
1586757600,1237,1239.9,1234,1238.85,41304,64640.9
1586757900,1238.7,1246,1238,1239.9,70726,63916
1586758200,1239.7,1243.4,1233.05,1236.3,73275,65162.6
1586758500,1235.65,1243,1235.05,1239.9,67647,66097.05
1586758800,1239.65,1244.7,1237,1240.3,40520,62948.6
1586759100,1241.25,1242.45,1236.65,1238,24925,62907.9
1586759400,1238,1242.85,1236.6,1241.25,32717,61947.15
1586759700,1241.05,1246.1,1240,1243.5,64662,61797.95
