time,open,high,low,close,Volume,Volume MA
1586749500,186.4,188.7,184.6,188.2,2180538,NaN
1586749800,188.25,188.65,186.25,186.25,1378427,NaN
1586750100,186.25,187.15,185.9,186.25,947703,NaN
1586750400,186.3,186.3,185.1,185.25,900339,NaN
1586750700,185.25,186.1,185,185.5,998348,NaN
1586751000,185.45,186,184.8,184.85,1004482,NaN
1586751300,184.85,185.35,184.25,184.8,918092,NaN
1586751600,184.8,185.15,184.1,184.1,718883,NaN
1586751900,184.3,184.7,184,184.6,656428,NaN
1586752200,184.6,184.75,184.05,184.7,458721,NaN
1586752500,184.6,185.35,184.55,184.75,764605,NaN
1586752800,184.5,185,184.2,184.35,555398,NaN
1586753100,184.3,184.6,183.6,184,865817,NaN
1586753400,184.1,184.1,183.3,183.95,659928,NaN
1586753700,184,184.55,183.95,184.35,751709,NaN
1586754000,184.35,184.6,184,184.6,339328,NaN
1586754300,184.6,185,184.55,184.95,519773,NaN
1586754600,184.95,186,184.8,185.2,1058293,NaN
1586754900,185.15,185.5,184.6,184.8,464423,NaN
1586755200,184.8,185.3,184.8,185.2,382172,826170.35
1586755500,185.15,185.2,184.7,184.8,302825,732284.7
1586755800,184.7,185,184.3,184.7,478767,687301.7
1586756100,184.7,185,184.25,184.3,449369,662385
1586756400,184.25,184.75,184.2,184.45,437968,639266.45
1586756700,184.4,185.05,184.15,184.25,1140989,646398.5
1586757000,184.25,184.55,184,184.3,811410,636744.9
1586757300,184.3,184.5,184,184.4,474061,614543.35
1586757600,184.35,185,184.2,184.7,452425,601220.45
1586757900,184.7,186.85,184.7,186.75,1755077,656152.9
1586758200,186.7,187.7,186.2,186.5,1551490,710791.35
1586758500,186.5,187.55,186.45,186.75,1081214,726621.8
1586758800,186.75,187.15,185.85,186.1,704964,734100.1
1586759100,186.1,186.4,185.6,185.85,407079,711163.2
1586759400,185.9,186.15,185.4,185.55,435640,699948.8
1586759700,185.65,186.45,185.55,186.45,470009,685863.8
1586760000,186.7,186.95,186.15,186.35,403297,689062.25
1586760300,186.35,186.5,185.7,185.95,356692,680908.2
1586760600,185.9,186.35,185.85,186.05,340591,645023.1
1586760900,186.1,186.1,185.25,185.35,847507,664177.3
1586761200,185.3,185.5,185.15,185.5,386933,664415.35
1586761500,185.5,185.95,185.5,185.75,282544,663401.3
1586761800,185.65,186,185.6,185.8,246178,651771.85
1586762100,185.65,186,185.4,185.85,294292,644018
1586762400,185.85,186.25,185.8,185.9,337449,638992.05
1586762700,185.85,185.9,185.3,185.35,466923,605288.75
1586763000,185.5,185.85,185.2,185.6,348534,582144.95
1586763300,185.6,186,185.4,185.5,313900,574136.9
1586763600,185.5,185.5,184.7,184.75,864716,594751.45
1586763900,184.7,184.95,184.5,184.5,649617,539478.45
1586764200,184.55,184.8,184.25,184.3,515199,487663.9
1586764500,184.3,184.6,184.05,184.5,614272,464316.8
1586764800,184.45,184.7,184.15,184.2,462747,452205.95
1586765100,184.15,184.4,184,184.2,656685,464686.25
1586765400,184.2,184.65,184.05,184.5,344658,460137.15
1586765700,184.4,184.9,184.4,184.6,371313,455202.35
1586766000,184.6,184.65,184.15,184.4,326582,451366.6
1586766300,184.4,184.45,184.1,184.25,363879,451725.95
1586766600,184.25,184.85,184.1,184.2,389211,454156.95
1586766900,184.2,184.5,183.5,183.6,858242,454693.7
1586767200,183.55,183.7,183.1,183.3,814509,476072.5
1586767500,183.35,184.05,183.1,183.9,682271,496058.85
1586767800,183.9,184,183.5,183.8,523656,509932.75
1586768100,183.85,184.3,183.5,183.95,647356,527585.95
1586768400,183.9,184.75,183.9,184.4,1246583,573042.65
1586768700,184.35,184.45,183.75,184.1,706500,585021.5
1586769000,184.2,184.5,183.9,184.3,730752,604132.4
1586769300,184.35,184.55,183.85,184,996160,638245.4
1586769600,183.95,184.1,183.75,183.95,559362,622977.7
1586769900,183.95,184.25,183.75,183.9,609613,620977.5
1586770200,183.9,184,183.5,183.5,700429,630239
1586770500,183.55,183.75,183.35,183.4,1001753,649613.05
1586770800,183.4,183.5,183.15,183.45,1086877,680819.55
1586771100,183.45,183.5,183.15,183.5,966785,696324.55
1586771400,183.45,183.6,183.2,183.6,1223562,740269.75
1586771700,183.55,184.2,183.55,184,694774,756442.8
1586922300,187,187.85,186.1,187.4,2157557,847991.55
1586922600,187.45,187.9,186.7,187.1,1508834,905239.3
1586922900,187,187.6,186.45,186.6,1208585,946208
1586923200,186.6,187.15,186.35,186.75,853983,945995.05
1586923500,186.8,188.9,186.55,188.8,1782955,994417.35
1586923800,188.7,189.7,188.5,188.55,2327322,1076669.9
1586924100,188.7,190.65,188.4,190.4,3380217,1219497.95
1586924400,190.25,190.8,189.4,190.75,2165875,1295423.9
1586924700,190.5,191,190,190.7,1394852,1302837.35
1586925000,190.7,191.45,190.55,191.2,1502308,1342627.75
1586925300,191.1,191.95,190.3,191.6,1492563,1380718.3
1586925600,191.65,191.8,190.7,190.95,884363,1375128.45
1586925900,191,191.3,189.85,190,1137285,1404024.6
1586926200,189.95,190.45,189.5,190.3,763977,1411742.8
1586926500,190.3,190.7,190.05,190.45,486665,1401054.6
1586926800,190.3,190.6,189.7,189.85,596968,1380815.35
1586927100,189.9,190.1,189.5,190,563689,1354655.95
1586927400,190,190.6,189.8,190.6,601480,1336390.7
1586927700,190.55,191.3,190.35,191,1024060,1326415.6
1586928000,190.95,191,190.15,190.3,455701,1314461.95
1586928300,190.15,190.4,189.8,189.85,570937,1235130.95
1586928600,189.85,189.95,189.2,189.7,759840,1197681.25
1586928900,189.65,190,189.55,189.75,368754,1155689.7
1586929200,189.7,190,189.6,189.75,301753,1128078.2
1586929500,189.85,190.3,189.5,189.9,661507,1072005.8
1586929800,189.95,190,189.4,189.5,497921,980535.75
1586930100,189.4,189.6,189,189.2,681868,845618.3
1586930400,189.3,189.35,188.75,188.95,670449,770847
1586930700,189,189.55,188.95,189.4,347091,718458.95
1586931000,189.4,189.55,188.6,188.7,481657,667426.4
1586931300,188.7,188.95,188.1,188.15,770205,631308.5
1586931600,188.25,188.65,187.85,188.4,976549,635917.8
1586931900,188.35,188.8,188.05,188.8,485061,603306.6
1586932200,188.8,188.9,188.3,188.5,385207,584368.1
1586932500,188.5,188.85,188.35,188.7,226031,571336.4
1586932800,188.6,189.5,188.6,189.4,621075,572541.75
1586933100,189.4,189.75,189.3,189.45,572802,572997.4
1586933400,189.4,189.6,189,189.15,331224,559484.6
1586933700,189.25,189.25,188.35,188.45,514022,533982.7
1586934000,188.5,188.7,188,188.45,823122,552353.75
1586934300,188.55,188.95,188.2,188.4,351006,541357.2
1586934600,188.4,188.65,188.3,188.45,220534,514391.9
1586934900,188.5,188.5,188,188,611431,526525.75
1586935200,188,188.2,187.4,187.6,1074237,565149.95
1586935500,187.6,187.95,186.5,187.25,1311441,597646.65
1586935800,187.3,187.6,187,187.15,908152,618158.2
1586936100,187.1,187.65,186.8,187.5,909662,629547.9
1586936400,187.45,187.55,186.85,187.15,543293,623190.1
1586936700,187.1,187.15,185.7,186.4,1412238,676447.45
1586937000,186.35,186.75,185.5,185.7,886007,696664.95
1586937300,185.7,186.5,185.55,186.15,723046,694307
1586937600,186.1,186.95,186,186.65,559991,673479.1
1586937900,186.6,187,186.2,186.45,468820,672667.05
1586938200,186.45,186.65,186.1,186.25,292667,668040.05
1586938500,186,186,185,185.15,1754173,744447.15
1586938800,185.15,185.75,185.15,185.45,647727,745779.75
1586939100,185.4,186.1,184.7,184.9,1142506,774264.95
1586939400,184.9,185,184.3,184.65,795011,797454.3
1586939700,184.6,184.65,183.5,183.6,1473276,845417
1586940000,183.6,184.15,182.5,182.7,2571785,932850.15
1586940300,182.8,182.8,180.95,181.7,2496379,1040118.8
1586940600,181.75,181.85,180.15,180.5,1692249,1113704.55
1586940900,180.5,182.7,180.45,182.4,1514753,1158870.65
1586941200,182.4,182.45,181.4,182.4,967951,1153556.35
1586941500,182.3,183.65,182.05,183.5,886764,1132322.5
1586941800,183.65,183.8,182.4,182.9,882087,1131019.25
1586942100,182.9,183.15,182.55,182.75,514592,1111265.75
1586942400,182.8,182.8,181.8,182.45,832997,1125750.95
1586942700,182.45,183,182.05,183,801129,1095195.5
1586943000,182.9,183,182.3,182.45,933417,1097566
1586943300,182.55,182.55,181.8,182.15,767545,1099790.95
1586943600,182.15,182.35,181.8,182.1,801975,1111890.15
1586943900,182.1,182.55,182,182.45,1140252,1145461.75
1586944200,182.5,182.6,182.15,182.4,985571,1180106.95
1586944500,182.4,183,182.35,183,844601,1134628.35
1587008700,182.15,182.25,180.25,180.85,1929906,1198737.3
1587009000,180.8,181.75,180.3,181.3,1141946,1198709.3
1587009300,181.3,182.5,181.3,181.85,1056162,1211766.85
1587009600,181.9,182.85,181.3,182.5,883188,1182262.45
1587009900,182.5,183.85,182.5,183.6,1495569,1128451.65
1587010200,183.6,184.5,183,183.15,1417753,1074520.35
1587010500,183.15,184.35,182.7,182.7,1115594,1045687.6
1587010800,182.8,183.1,182.3,182.75,845104,1012205.15
1587011100,182.7,183.35,182.45,182.65,549291,991272.15
1587011400,182.7,182.9,182.05,182.5,647471,979307.5
1587011700,182.4,183.55,182.3,183.15,582795,964342.9
